employee_id,name,cost_centre,week,day,minutes,rate_cents
E-1001,Alice Anderson,CC-DEPOT,2026-W37,Mon,485,2500
E-1001,Alice Anderson,CC-DEPOT,2026-W37,Tue,480,2500
E-1001,Alice Anderson,CC-DEPOT,2026-W37,Wed,490,2500
E-1001,Alice Anderson,CC-DEPOT,2026-W37,Thu,475,2500
E-1001,Alice Anderson,CC-DEPOT,2026-W37,Fri,485,2500
E-1002,Bob Brown,CC-OFFICE,2026-W37,Mon,480,3000
E-1002,Bob Brown,CC-OFFICE,2026-W37,Tue,480,3000
E-1002,Bob Brown,CC-OFFICE,2026-W37,Wed,480,3000
E-1002,Bob Brown,CC-OFFICE,2026-W37,Thu,480,3000
E-1002,Bob Brown,CC-OFFICE,2026-W37,Fri,480,3000
E-1003,Carol Chen,CC-DEPOT,2026-W37,Mon,600,2400
E-1003,Carol Chen,CC-DEPOT,2026-W37,Tue,600,2400
E-1003,Carol Chen,CC-DEPOT,2026-W37,Wed,600,2400
E-1003,Carol Chen,CC-DEPOT,2026-W37,Thu,600,2400
E-1003,Carol Chen,CC-DEPOT,2026-W37,Fri,125,2400
E-1004,Dan Davis,,2026-W37,Mon,480,2500
E-1004,Dan Davis,,2026-W37,Tue,480,2500
